"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"062063","San Lupo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",769,"p","dato provvisorio"
"079110","San Mango d'Aquino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",744,"p","dato provvisorio"
"079110","San Mango d'Aquino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",776,"p","dato provvisorio"
"079110","San Mango d'Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1520,"p","dato provvisorio"
"065121","San Mango Piemonte","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1361,"p","dato provvisorio"
"065121","San Mango Piemonte","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1387,"p","dato provvisorio"
"065121","San Mango Piemonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2748,"p","dato provvisorio"
"064082","San Mango sul Calore","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",595,"p","dato provvisorio"
"064082","San Mango sul Calore","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",562,"p","dato provvisorio"
"064082","San Mango sul Calore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1157,"p","dato provvisorio"
"061077","San Marcellino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",7253,"p","dato provvisorio"
"061077","San Marcellino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",7144,"p","dato provvisorio"
"061077","San Marcellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",14397,"p","dato provvisorio"
"042041","San Marcello","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",991,"p","dato provvisorio"
"042041","San Marcello","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1017,"p","dato provvisorio"
"042041","San Marcello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2008,"p","dato provvisorio"
"078123","San Marco Argentano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3681,"p","dato provvisorio"
"078123","San Marco Argentano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3719,"p","dato provvisorio"
"078123","San Marco Argentano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",7400,"p","dato provvisorio"
"083079","San Marco d'Alunzio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",910,"p","dato provvisorio"
"083079","San Marco d'Alunzio","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",979,"p","dato provvisorio"
"083079","San Marco d'Alunzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1889,"p","dato provvisorio"
"062064","San Marco dei Cavoti","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1561,"p","dato provvisorio"
"062064","San Marco dei Cavoti","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1664,"p","dato provvisorio"
"062064","San Marco dei Cavoti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3225,"p","dato provvisorio"
"061104","San Marco Evangelista","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3256,"p","dato provvisorio"
"061104","San Marco Evangelista","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3331,"p","dato provvisorio"
"061104","San Marco Evangelista","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",6587,"p","dato provvisorio"
"071047","San Marco in Lamis","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",6536,"p","dato provvisorio"
"071047","San Marco in Lamis","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",6861,"p","dato provvisorio"
"071047","San Marco in Lamis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",13397,"p","dato provvisorio"
"071048","San Marco la Catola","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",483,"p","dato provvisorio"
